,frame_number,track_id,object_type,xcenter,ycenter,bbox
0,13,11,person,953.881282315638,454.6931123722867,[911.81144774 371.353411   995.95111689 538.03281374]
0,14,1,person,794.2074357147354,475.99137026913195,[722.47931338 310.1616622  865.93555805 641.82107834]
0,14,2,person,280.05108461274676,438.35249015538557,[242.64548723 337.53025474 317.456682   539.17472557]
0,14,3,person,717.3359745061553,446.4964742264335,[685.48149427 358.12056095 749.19045475 534.87238751]
0,14,4,person,365.2899081129898,451.894520859806,[328.62428979 370.14209029 401.95552644 533.64695143]
0,14,5,person,600.672543092852,438.4949090607795,[577.31514257 371.31462808 624.02994362 505.67519004]
0,14,6,person,217.88799496419296,457.3651036496749,[182.13087524 369.13575479 253.64511469 545.59445251]
0,14,7,person,870.4635081542128,446.3266261747457,[847.04323016 381.6399177  893.88378615 511.01333465]
0,14,8,person,998.8463956753637,447.1964845132163,[ 966.1560699   358.8902221  1031.53672145  535.50274693]
0,14,9,person,544.6177093522932,438.6051788766862,[519.52522465 368.53671768 569.71019405 508.67364008]
0,14,10,person,168.26032067364076,440.5889111464317,[145.32340772 386.12018861 191.19723363 495.05763368]
0,14,11,person,957.5562957946977,455.0740648597846,[915.61307572 370.97847351 999.49951587 539.16965621]
0,15,1,person,789.8773627957657,471.81308560938,[722.72090878 315.57706254 857.03381682 628.04910868]
0,15,2,person,277.63426747120445,437.65122465742616,[240.01942485 335.13357007 315.24911009 540.16887925]
0,15,3,person,717.0555345329619,445.17101971074646,[685.44641888 357.22527952 748.66465019 533.11675991]
0,15,4,person,363.03785093232716,451.57651540676045,[326.72710064 369.9288746  399.34860123 533.22415621]
0,15,5,person,596.1349976033789,438.54439375634695,[573.15201088 371.91227399 619.11798432 505.17651352]
0,15,6,person,215.21856486045004,457.5645570345652,[178.63310959 367.99328498 251.80402013 547.13582909]
0,15,8,person,998.995377213052,447.8841296393365,[ 965.86156717  358.37987357 1032.12918726  537.38838571]
0,15,9,person,544.0110692913618,438.5854278651127,[518.91362873 368.89340288 569.10850986 508.27745285]
0,15,10,person,164.93397577728538,443.67059741960264,[142.94696567 390.73012831 186.92098588 496.61106652]
0,15,11,person,961.4456398091802,454.85493740592585,[ 920.32645459  370.85809115 1002.56482503  538.85178367]
